iterations,fevals,time,fitness
0,56370,0.02022175000000004,539.0
10,57408,0.03045230800000004,554.0
20,58444,0.03683409100000001,550.0
30,59475,0.046448506000000056,544.0
40,60523,0.053346674000000094,531.0
50,61557,0.0598414470000001,546.0
60,62591,0.06623022200000012,552.0
70,63628,0.07490569400000008,560.0
80,64672,0.08426730400000004,564.0
90,65708,0.09758583800000004,557.0
100,66742,0.10329570400000004,557.0
110,67785,0.10833008300000008,563.0
120,68819,0.11256588900000009,554.0
130,69861,0.11954438600000006,566.0
140,70898,0.12403766600000005,558.0
150,71937,0.12813627000000005,564.0
160,72978,0.13170473100000002,566.0
170,74016,0.13572856400000005,566.0
180,75062,0.14092600700000002,570.0
190,76095,0.144599829,572.0
200,77132,0.14825144699999998,574.0
210,78174,0.152027425,582.0
220,79222,0.155529005,580.0
230,80266,0.16088777899999995,580.0
240,81308,0.1642581409999999,580.0
250,82348,0.1674521969999999,580.0
260,83389,0.1705263549999999,578.0
270,84424,0.1734677979999999,582.0
280,85459,0.18539504699999992,586.0
290,86500,0.19752807299999992,588.0
300,87545,0.2063047939999999,586.0
310,88576,0.21745250699999985,580.0
320,89614,0.2289904359999999,580.0
330,90658,0.23405691799999995,582.0
340,91702,0.23700217599999995,578.0
350,92741,0.24004618599999994,580.0
360,93784,0.2452807979999999,582.0
370,94826,0.24897722199999994,582.0
380,95865,0.252590505,584.0
390,96903,0.256320062,586.0
400,97949,0.260026933,584.0
410,98991,0.262999144,586.0
420,100033,0.266146608,588.0
430,101080,0.27102296300000006,586.0
440,102118,0.27393773200000004,586.0
450,103155,0.276957476,590.0
460,104207,0.28010906,590.0
470,105251,0.28334703400000005,590.0
480,106290,0.2863015440000001,588.0
490,107328,0.28923770300000007,590.0
500,108365,0.2921734180000001,590.0
510,109401,0.29587768400000014,590.0
520,110436,0.2989516560000002,594.0
530,111473,0.3019422020000001,596.0
540,112512,0.3048209330000001,594.0
550,113549,0.30769673200000014,598.0
560,114592,0.31066473900000013,594.0
570,115624,0.3138031370000002,594.0
580,116670,0.3168053390000002,596.0
590,117716,0.3258903190000002,594.0
600,118758,0.3375203680000003,594.0
610,119803,0.34917144700000025,592.0
620,120836,0.36356136900000025,592.0
630,121866,0.37545843700000026,596.0
640,122903,0.37847170100000027,596.0
650,123941,0.3817246070000003,600.0
660,124980,0.3848071860000003,600.0
670,126021,0.38799078300000034,600.0
680,127067,0.39113980000000037,604.0
690,128102,0.3954837240000004,602.0
700,129140,0.39919012300000045,602.0
710,130185,0.4028252560000005,598.0
720,131221,0.4063909450000005,600.0
730,132266,0.40971716100000044,602.0
740,133310,0.4128586900000004,604.0
750,134352,0.4158507730000004,606.0
760,135393,0.4187272600000004,604.0
770,136435,0.4215580870000004,606.0
780,137473,0.4243887000000004,608.0
790,138514,0.4273021330000003,606.0
800,139561,0.43109327300000033,608.0
810,140604,0.43393795700000026,606.0
820,141646,0.43679824700000025,604.0
830,142686,0.43995705900000026,610.0
840,143720,0.4428408580000003,608.0
850,144754,0.4457784840000003,606.0
860,145797,0.4486226670000003,606.0
870,146843,0.4514528440000003,604.0
880,147881,0.4542867960000002,606.0
890,148928,0.4571554980000002,604.0
900,149972,0.46099804300000025,604.0
910,151004,0.4639586080000003,606.0
920,152043,0.4669232620000002,606.0
930,153082,0.4698413480000002,606.0
940,154113,0.4726558350000002,606.0
950,155148,0.47544777000000016,608.0
960,156183,0.4782926590000002,606.0
970,157221,0.48110450000000016,604.0
980,158258,0.4839147870000001,606.0
990,159302,0.4867184550000001,604.0
1000,160338,0.4909118330000001,606.0
1010,161377,0.4937341540000001,606.0
1020,162421,0.496661212,608.0
1030,163470,0.4995243610000001,608.0
1040,164513,0.5022772580000001,608.0
1050,165550,0.50529796,606.0
1060,166583,0.508265651,610.0
1070,167623,0.511253732,608.0
1080,168663,0.514212926,606.0
1090,169703,0.517188752,606.0
1100,170746,0.520140935,608.0
1110,171790,0.523766409,608.0
1120,172828,0.526675024,608.0
1130,173862,0.52956429,608.0
1140,174899,0.5324461480000001,610.0
1150,175939,0.535386066,608.0
1160,176985,0.538297353,608.0
1170,178020,0.541233925,608.0
1180,179061,0.544160889,608.0
1190,180098,0.5469870240000001,610.0
1200,181128,0.5500644900000001,610.0
1210,182162,0.5539087170000001,608.0
1220,183205,0.557102194,608.0
1230,184242,0.560332386,608.0
1240,185283,0.5632449030000001,606.0
1250,186316,0.566176373,608.0
1260,187358,0.56907661,608.0
1270,188397,0.571982984,608.0
1280,189439,0.5748560300000001,606.0
1290,190484,0.577838182,606.0
1300,191519,0.581289154,608.0
1310,192556,0.584083887,608.0
1320,193594,0.588263876,606.0
1330,194633,0.5911748659999999,608.0
1340,195674,0.5940977169999999,608.0
1350,196711,0.5969732189999999,608.0
1360,197759,0.5998856249999999,608.0
1370,198799,0.6028409149999998,612.0
1380,199835,0.6057414379999998,612.0
1390,200875,0.6085650829999998,608.0
1400,201920,0.6113776759999998,606.0
1410,202964,0.6142509989999999,610.0
1420,204004,0.6217873079999999,610.0
1430,205025,0.6322150739999999,610.0
1440,206065,0.6442767199999999,606.0
1450,207101,0.660904984,606.0
1460,208138,0.6658456389999999,608.0
1470,209181,0.6687675299999999,608.0
1480,210217,0.6715356499999999,608.0
1490,211255,0.6746120259999999,608.0
1500,212295,0.6775453659999999,606.0
1510,213337,0.680382983,608.0
1520,214374,0.683224381,608.0
1530,215413,0.686058613,606.0
1540,216448,0.6888480210000001,606.0
1550,217480,0.6937574620000002,606.0
1560,218521,0.6977049420000001,606.0
