iterations,pop,mate,mutate,time,fitness
0,200,100,30,0.003168065000011211,0.036167015447681375
10,200,100,30,0.006221818000028634,0.03833125074212284
20,200,100,30,0.009501841000030709,0.03833125074212284
30,200,100,30,0.01232306100004621,0.03976432096127678
40,200,100,30,0.014954482000035796,0.03816173764756539
50,200,100,30,0.01743603000005578,0.03957116710253112
60,200,100,30,0.019712421000065206,0.03988530935315827
70,200,100,30,0.02189466400008655,0.03758003226297907
80,200,100,30,0.024227963000100772,0.039910693920901304
90,200,100,30,0.02634780700009287,0.04003592334039802
100,200,100,30,0.028463114000089718,0.04188693211647269
110,200,100,30,0.030525989000096843,0.04253596798373893
120,200,100,30,0.032576089000087904,0.03784505398829807
130,200,100,30,0.03469964200010622,0.03787984032500048
140,200,100,30,0.03694158300012873,0.03640804871531824
150,200,100,30,0.039084928000107766,0.041801793970053444
160,200,100,30,0.0412925930000938,0.042010360551273176
170,200,100,30,0.04351435000009474,0.040212975496891824
180,200,100,30,0.04561181300007888,0.040559203534140026
190,200,100,30,0.04772445000006087,0.03833950072714063
200,200,100,30,0.04979385700005423,0.03901076456930126
210,200,100,30,0.051863419000056865,0.03831049521178721
220,200,100,30,0.053983137000045645,0.040507231887428496
230,200,100,30,0.056277980000061234,0.037248908070881936
240,200,100,30,0.058546631000041316,0.040042972824910074
250,200,100,30,0.060652598000046964,0.038982447095726354
260,200,100,30,0.06270513600003369,0.039244720416432205
270,200,100,30,0.06474154000005683,0.038671248727608715
280,200,100,30,0.06680297100004395,0.04375949181642234
290,200,100,30,0.06888983700002882,0.03988342033525729
300,200,100,30,0.07095427400003018,0.04033253375899418
310,200,100,30,0.07301085300002796,0.0386671217443757
320,200,100,30,0.07511546700004601,0.03977778594549506
330,200,100,30,0.0771751340000435,0.04091048207204165
340,200,100,30,0.07919289100001947,0.0443341368858435
350,200,100,30,0.08127686299999937,0.04036026135791887
360,200,100,30,0.08335021100000972,0.037958356453375544
370,200,100,30,0.08542362200003595,0.040155828198407656
380,200,100,30,0.08743904300001759,0.040813891025171134
390,200,100,30,0.08943633600000567,0.03909385022819713
400,200,100,30,0.09148317700001485,0.038671248727608715
410,200,100,30,0.09360573900002578,0.040603453742569434
420,200,100,30,0.09570570200003203,0.04040963431108907
430,200,100,30,0.09780380900002683,0.04379683594050402
440,200,100,30,0.0998510600000202,0.03754133618394348
450,200,100,30,0.1018955790000291,0.04267913603010081
460,200,100,30,0.10393737900002975,0.04007071939905015
470,200,100,30,0.10611120800004414,0.03737309727644245
480,200,100,30,0.10832290000004718,0.040729798447710734
490,200,100,30,0.11039820600004191,0.037671218078902745
500,200,100,30,0.11250751100001821,0.03884111470477332
510,200,100,30,0.11459568800003694,0.04439890299688424
520,200,100,30,0.11668964900002265,0.04239884484047547
530,200,100,30,0.11875104400002101,0.04217518367016867
540,200,100,30,0.12087363800003459,0.04064724608982512
550,200,100,30,0.12302986400001714,0.03958112540216433
560,200,100,30,0.1252159699999993,0.038904211995600214
570,200,100,30,0.1272801200000231,0.03881838074905962
580,200,100,30,0.129262945000022,0.04213729067852189
590,200,100,30,0.13131380600003695,0.04160914364627936
600,200,100,30,0.13332217400005675,0.039351543413995035
610,200,100,30,0.13539133100005074,0.039788140165763576
620,200,100,30,0.13744212000005973,0.038518050797186676
630,200,100,30,0.13965419200008,0.03879077334994353
640,200,100,30,0.14179858000005652,0.04083298880117315
650,200,100,30,0.1438618610000617,0.03751944959055725
660,200,100,30,0.14590477800007307,0.044715822695482015
670,200,100,30,0.14790971300007527,0.03576427565857144
680,200,100,30,0.14998504600006868,0.041838780142261854
690,200,100,30,0.1520693730000744,0.04235413494627877
700,200,100,30,0.15412668000007557,0.04206127433910468
710,200,100,30,0.15642972400007693,0.04563559558002348
720,200,100,30,0.15900161100009313,0.04024258085037189
730,200,100,30,0.16138470600012056,0.03912046248081266
740,200,100,30,0.16363606400011577,0.03757323682499157
750,200,100,30,0.16571732400012706,0.03808142942246368
760,200,100,30,0.1677781180001432,0.040161535284326415
770,200,100,30,0.1698213980001526,0.037591505298977895
780,200,100,30,0.17195734200015522,0.0377671449777976
