iterations,pop,mate,mutate,time,fitness
0,200,50,10,0.0017176089999964006,0.043095841360956406
10,200,50,10,0.0033687789999703455,0.04037343219003851
20,200,50,10,0.004923769999976457,0.038879844571415315
30,200,50,10,0.006527760999972543,0.04124017079637137
40,200,50,10,0.008019446999981028,0.03839802201908095
50,200,50,10,0.009461773999959178,0.04114684817141636
60,200,50,10,0.010964156999961006,0.040154396825921965
70,200,50,10,0.012406937999941192,0.03813931676717459
80,200,50,10,0.013821073999935152,0.039408690953427895
90,200,50,10,0.015096534999941014,0.038572394617731896
100,200,50,10,0.01635891099994069,0.038132859590643116
110,200,50,10,0.01757821599991871,0.040049172131071016
120,200,50,10,0.01873178099992856,0.03766549038203175
130,200,50,10,0.01981923099992855,0.03940829361700431
140,200,50,10,0.020869314999913513,0.04036455339196491
150,200,50,10,0.02189445199991269,0.04036455339196491
160,200,50,10,0.022945966999913026,0.04076199700621139
170,200,50,10,0.024030387999914637,0.03711485882777808
180,200,50,10,0.02514283199991496,0.04184038632602043
190,200,50,10,0.026264776999937567,0.037861252305678605
200,200,50,10,0.027390777999954707,0.040704453207269044
210,200,50,10,0.02857213399994407,0.03755817619119677
220,200,50,10,0.029648122999930138,0.03818383476718187
230,200,50,10,0.030719816999919658,0.037914657508652215
240,200,50,10,0.031878389999917545,0.044214771966027855
250,200,50,10,0.03324843099991881,0.03850831483601097
260,200,50,10,0.034613136999922745,0.04322823937007268
270,200,50,10,0.03583080599992172,0.04142764509409262
280,200,50,10,0.0370522419999304,0.04208270937129521
290,200,50,10,0.038270203999928754,0.039303087260806016
300,200,50,10,0.039453144999924916,0.04345074252954152
310,200,50,10,0.04073169099993379,0.040052490145297874
320,200,50,10,0.04203209799993601,0.03836665327307761
330,200,50,10,0.04326410899994926,0.03697040303535011
340,200,50,10,0.04438935599995375,0.042012279504430296
350,200,50,10,0.045554609999953755,0.042012279504430296
360,200,50,10,0.046721751999967864,0.03976203307562728
370,200,50,10,0.0478559729999688,0.040508702532667334
380,200,50,10,0.04894180499996992,0.04002051833893457
390,200,50,10,0.05000884799997607,0.03663790514674109
400,200,50,10,0.051081669999973656,0.043679085167433844
410,200,50,10,0.052108743999980334,0.03984789341357257
420,200,50,10,0.05317201699998009,0.037653261258596096
430,200,50,10,0.05430175699996198,0.039189791433944264
440,200,50,10,0.055421972999965874,0.039189791433944264
450,200,50,10,0.056619564999977,0.039189791433944264
460,200,50,10,0.05799540799998226,0.039189791433944264
470,200,50,10,0.05913876999997569,0.04208621934835804
480,200,50,10,0.060213166999972145,0.04208621934835804
490,200,50,10,0.06210095899996304,0.04236532532700253
