iterations,pop,mate,mutate,time,fitness
0,200,50,30,0.001847978000000694,0.03642132964411831
10,200,50,30,0.003554463999989821,0.03856688043828385
20,200,50,30,0.005212248999981739,0.04090982226509798
30,200,50,30,0.006837977999964551,0.0406105031569101
40,200,50,30,0.008595546999970338,0.04114346270722427
50,200,50,30,0.010229653999971333,0.0449292165473657
60,200,50,30,0.011849025999964624,0.03874487553891532
70,200,50,30,0.013353118999958724,0.040453628628256154
80,200,50,30,0.014889356999958636,0.039412698160644286
90,200,50,30,0.01628556199995046,0.03967750027450773
100,200,50,30,0.01782172699995499,0.037950116677962935
110,200,50,30,0.01929491299995334,0.037758287325233085
120,200,50,30,0.02059313999995993,0.040765848294202545
130,200,50,30,0.02192425099994466,0.03781674249056858
140,200,50,30,0.023337262999945096,0.03854841154220119
150,200,50,30,0.02471862499993449,0.03901116492860503
160,200,50,30,0.026157703999928117,0.04165782347430722
170,200,50,30,0.027633801999940033,0.04345423640411914
180,200,50,30,0.029086640999935298,0.0458708680373442
190,200,50,30,0.030421635999914542,0.03971107086240398
200,200,50,30,0.031758906999925784,0.041423796099605226
210,200,50,30,0.033086409999924626,0.039331904966857636
220,200,50,30,0.034379763999936586,0.04092105878655846
230,200,50,30,0.03573302899994246,0.03878430907189224
240,200,50,30,0.03724395799994795,0.0437967782836686
250,200,50,30,0.038664363999942,0.04333381462585014
260,200,50,30,0.03999842399994691,0.03873968984524313
270,200,50,30,0.041371513999933995,0.039345157761302325
280,200,50,30,0.042727575999947476,0.038556038020061
290,200,50,30,0.04399887199994623,0.04085359596256111
300,200,50,30,0.045291907999938985,0.0448064009668889
310,200,50,30,0.04650231699991991,0.04001216825004918
320,200,50,30,0.04762748599992506,0.04001216825004918
330,200,50,30,0.04877385699992942,0.03782177261821915
340,200,50,30,0.04984621499991704,0.037602517951742374
350,200,50,30,0.05094875099990759,0.04451985772030096
360,200,50,30,0.05211562999988928,0.038129355531239
370,200,50,30,0.053296152999905644,0.040607994057312885
380,200,50,30,0.05449046199990448,0.0393626477327985
390,200,50,30,0.05565988599991556,0.037356015611079055
400,200,50,30,0.05679550899989749,0.038732708357183676
410,200,50,30,0.05793286999991665,0.03863851076068666
420,200,50,30,0.059095169999892505,0.03566600050054158
430,200,50,30,0.060307458999886876,0.038222681336663726
440,200,50,30,0.06146126199988089,0.03891684170272369
450,200,50,30,0.06261788099988053,0.03958371690531658
460,200,50,30,0.06377825299989581,0.03843649052978769
470,200,50,30,0.06493001899988826,0.040974054690327485
480,200,50,30,0.0660915159998865,0.03469532500689094
490,200,50,30,0.06727525099989862,0.03801550165158319
500,200,50,30,0.06845938599991541,0.039538513353173994
510,200,50,30,0.06970927399993343,0.04041622642859329
520,200,50,30,0.07090383399992106,0.04254317213063294
530,200,50,30,0.07213129699991327,0.040578372693570605
540,200,50,30,0.07336081099992953,0.03776372961833339
550,200,50,30,0.07464492099992981,0.03606045051668665
560,200,50,30,0.07594406999993453,0.03742244095819709
570,200,50,30,0.07727289899995071,0.03890373549622666
580,200,50,30,0.07859941299994944,0.039654069638328335
590,200,50,30,0.07980759299994133,0.04456850602633886
600,200,50,30,0.08095669899995528,0.04456850602633886
610,200,50,30,0.08208761399995979,0.041257497500750924
620,200,50,30,0.08322768499996869,0.04205950215952518
630,200,50,30,0.0843688309999493,0.03891154510226781
640,200,50,30,0.08551029499994911,0.04311531598011718
650,200,50,30,0.08664748899997221,0.03888632952800379
660,200,50,30,0.08780770699996765,0.0388672920483852
670,200,50,30,0.08900569699997618,0.03957238174188128
680,200,50,30,0.09015918599996553,0.042539277914956534
690,200,50,30,0.09129017899996938,0.04054475975073012
700,200,50,30,0.09258757999995737,0.040756217359312924
710,200,50,30,0.09379782199997067,0.04156107909530081
720,200,50,30,0.09496483199998806,0.04042594470133502
730,200,50,30,0.09610953699998959,0.04339654538350041
740,200,50,30,0.09722957799999676,0.03314393139138776
750,200,50,30,0.09835178200000882,0.04251649969501811
