iterations,pop,mate,mutate,time,fitness
0,2000,400,650,0.01773585800000177,0.07282532243791393
10,2000,400,650,0.03486532600000203,0.08204434436795068
20,2000,400,650,0.05304371600000479,0.09267489884249705
30,2000,400,650,0.07214465300000228,0.1086048527616118
40,2000,400,650,0.08913650200000234,0.1102724607797792
50,2000,400,650,0.10563598200000257,0.11631071112861266
60,2000,400,650,0.12172001399999743,0.12372746550202479
70,2000,400,650,0.1374683439999984,0.14290944143383216
80,2000,400,650,0.15328026799999606,0.1437002728520705
90,2000,400,650,0.1688341249999965,0.13918650462067367
100,2000,400,650,0.18386698899999487,0.1414488939787292
110,2000,400,650,0.19938795199999504,0.1452993721847263
120,2000,400,650,0.2132893069999966,0.1510948834375694
130,2000,400,650,0.22716468399999457,0.15274199978511174
140,2000,400,650,0.24085057099999574,0.1527953500149315
150,2000,400,650,0.2540922949999924,0.15279535001493152
160,2000,400,650,0.26836302699999237,0.15279535001493147
170,2000,400,650,0.2816014109999898,0.14783567198430123
180,2000,400,650,0.29649841499998786,0.15279535001493147
190,2000,400,650,0.3117630149999897,0.15279535001493147
200,2000,400,650,0.3262491069999882,0.15279535001493147
210,2000,400,650,0.3402252209999901,0.1527261835072251
220,2000,400,650,0.3537560469999903,0.14612836529430207
230,2000,400,650,0.36721368199999205,0.14783567198430123
240,2000,400,650,0.3804816409999958,0.14597273450000287
250,2000,400,650,0.39378987799999976,0.14946588419023288
260,2000,400,650,0.4082986959999957,0.14584564024498198
270,2000,400,650,0.42207511399999476,0.14748634111336587
280,2000,400,650,0.43651881199999565,0.1439757064452683
290,2000,400,650,0.45083332599999437,0.14711834839723384
300,2000,400,650,0.4650244079999908,0.1471183483972338
310,2000,400,650,0.4803627099999943,0.14908795953401316
320,2000,400,650,0.4943164809999985,0.1490879595340132
330,2000,400,650,0.5082594379999961,0.14908795953401316
340,2000,400,650,0.523193520999996,0.14399979004273789
350,2000,400,650,0.5368210419999997,0.14399979004273789
360,2000,400,650,0.5504155900000001,0.14080056268733576
370,2000,400,650,0.5641429940000009,0.14460940018627147
380,2000,400,650,0.5777022099999982,0.14783143962181583
390,2000,400,650,0.5917581779999992,0.14543337724233543
400,2000,400,650,0.605263739999998,0.14987947164261636
410,2000,400,650,0.6187444999999983,0.14603940155080236
420,2000,400,650,0.6331207919999997,0.14603940155080236
430,2000,400,650,0.6462866079999969,0.14666359853976246
440,2000,400,650,0.6595183789999908,0.14638383922533488
450,2000,400,650,0.6724192539999905,0.14638383922533488
460,2000,400,650,0.685293982999994,0.14638383922533488
470,2000,400,650,0.6997551969999947,0.14638383922533488
480,2000,400,650,0.7133361899999926,0.14638383922533482
490,2000,400,650,0.7272294009999953,0.14638383922533488
500,2000,400,650,0.7427071369999965,0.14638383922533488
510,2000,400,650,0.7564105419999976,0.14638383922533488
520,2000,400,650,0.7698605129999976,0.14638383922533482
530,2000,400,650,0.7834127669999944,0.14638383922533482
540,2000,400,650,0.797350387999991,0.14638383922533488
550,2000,400,650,0.8109761769999935,0.14638383922533488
