iterations,pop,mate,mutate,time,fitness
0,100,10,10,0.00044916999999600193,0.03970929741232601
10,100,10,10,0.0008714370000006966,0.036853593710703486
20,100,10,10,0.0012649669999973412,0.03665816134838028
30,100,10,10,0.0016469230000097923,0.04112338186353413
40,100,10,10,0.002017433000020219,0.03955498761925439
50,100,10,10,0.002394143000032045,0.037506815048284195
60,100,10,10,0.002752547000056893,0.041577331256854415
70,100,10,10,0.003162574000072027,0.03930764198691493
80,100,10,10,0.003586041000090745,0.03745990050110801
90,100,10,10,0.003946671000079505,0.03633793536032751
100,100,10,10,0.004283239000102412,0.03846702339510277
110,100,10,10,0.0046435160001010445,0.03697512718697039
120,100,10,10,0.004984558000103334,0.037592667384418424
130,100,10,10,0.005331926000110343,0.037744831806232934
140,100,10,10,0.005696372000102201,0.03437224026937339
150,100,10,10,0.006037341000109109,0.04530929457421248
160,100,10,10,0.006365393000123731,0.041331752406002106
170,100,10,10,0.006688821000125245,0.038217317729324775
180,100,10,10,0.007016012000121918,0.03730857849914901
190,100,10,10,0.007328798000116876,0.03820217097487499
200,100,10,10,0.007627578000125368,0.03942783504806196
210,100,10,10,0.007934818000137511,0.03942783504806196
220,100,10,10,0.008234933000153433,0.03647435078929713
230,100,10,10,0.008597965000149088,0.03909201373917076
240,100,10,10,0.00891087800013679,0.03725444365278404
250,100,10,10,0.009217868000121143,0.03879802291739849
260,100,10,10,0.009509408000099029,0.03882249747752807
270,100,10,10,0.009862439000102086,0.03823860860737975
280,100,10,10,0.010187658000120337,0.045482574486103655
290,100,10,10,0.010481055000127526,0.03846981134007186
300,100,10,10,0.010744407000117917,0.03846981134007186
310,100,10,10,0.011013246000118215,0.0379038829454258
320,100,10,10,0.01129255700013232,0.0366863646814649
330,100,10,10,0.011577104000139116,0.0366863646814649
340,100,10,10,0.011855849000141916,0.04007444626779961
350,100,10,10,0.012136731000140344,0.039457756027565544
360,100,10,10,0.012402135000115777,0.03932547918052272
370,100,10,10,0.012683530000117571,0.03831576840484497
380,100,10,10,0.012962516000101232,0.040448137195575426
390,100,10,10,0.013249599000118906,0.03838895439646396
400,100,10,10,0.01354140000012194,0.03787708561447476
410,100,10,10,0.013855618000121694,0.040152513456312225
420,100,10,10,0.014161995000108618,0.041819961169925556
430,100,10,10,0.014468156000106092,0.041056803927996696
440,100,10,10,0.014829623000110814,0.037057366531565966
