iterations,pop,mate,mutate,time,fitness
0,200,100,20,0.0032541189999903963,0.04005030362618232
10,200,100,20,0.006439561999997068,0.04181122013741122
20,200,100,20,0.009519119999993109,0.040363549594965985
30,200,100,20,0.01233923999998865,0.03864757603581662
40,200,100,20,0.014900167999996938,0.04541946094785147
50,200,100,20,0.017187029999973902,0.03717755271322384
60,200,100,20,0.0193576589999509,0.04215577165085329
70,200,100,20,0.021457468999955154,0.04158897474693277
80,200,100,20,0.023586708999943085,0.042507686219277925
90,200,100,20,0.025821374999935642,0.04176970850739117
100,200,100,20,0.027917881999940164,0.03882452681363233
110,200,100,20,0.029911739999931797,0.038697416748927356
120,200,100,20,0.03193441899995264,0.03886060426351464
130,200,100,20,0.034065683999955354,0.0385167616279792
140,200,100,20,0.03609930499993652,0.04140083138375593
150,200,100,20,0.038158460999937915,0.03977531338050614
160,200,100,20,0.04031616799991866,0.04032144239909459
170,200,100,20,0.042540949999931854,0.039641042327554485
180,200,100,20,0.044636436999923035,0.042912319960936036
190,200,100,20,0.04667409099994302,0.0398235517969072
200,200,100,20,0.048796768999920914,0.03897995843370712
210,200,100,20,0.050903035999937174,0.038546936481860125
220,200,100,20,0.052923099999929946,0.039788744254613304
230,200,100,20,0.05518337899994208,0.03975285835483742
240,200,100,20,0.057528721999943855,0.039268459177867636
250,200,100,20,0.05982761399994274,0.042900167135824216
260,200,100,20,0.062018081999951846,0.043056443400328624
270,200,100,20,0.06416846599995552,0.04234490801014039
280,200,100,20,0.06704418799995437,0.03783713174480829
290,200,100,20,0.06905001099997321,0.03750150739377644
300,200,100,20,0.07103180799998654,0.038805804698534584
310,200,100,20,0.07313814699998034,0.04030865319885945
320,200,100,20,0.07533052599998769,0.03803239389069301
330,200,100,20,0.07741933799999856,0.04010122767673721
340,200,100,20,0.07958171799998581,0.03941591226915678
350,200,100,20,0.08174039699997593,0.039040331017457006
360,200,100,20,0.0837726959999543,0.04218644107469879
370,200,100,20,0.08591413199997078,0.0377292021952549
380,200,100,20,0.08805185699998219,0.03795710456392596
390,200,100,20,0.0902660909999895,0.03708163156693462
400,200,100,20,0.09235331199997177,0.04249756615563328
410,200,100,20,0.09445558799995979,0.03923702135744601
420,200,100,20,0.09658977999995955,0.0401125303731314
430,200,100,20,0.09880629999994994,0.040286058087680966
440,200,100,20,0.10084517099994628,0.04204006443591289
450,200,100,20,0.10288571999996066,0.03620925974014167
460,200,100,20,0.10498806899994406,0.04016517197118706
470,200,100,20,0.1073890489999485,0.03639005151292347
480,200,100,20,0.10955198999994309,0.03725482347248035
490,200,100,20,0.11167445299994938,0.037955380509628184
500,200,100,20,0.1138149789999261,0.038671248727608715
510,200,100,20,0.11586499099990988,0.0392499322154415
520,200,100,20,0.11791729699990583,0.04314227032386935
530,200,100,20,0.12006708699991009,0.040664139573126784
540,200,100,20,0.12222231699990971,0.03937070724826649
550,200,100,20,0.12434797399990316,0.038173444328525784
560,200,100,20,0.1263594739999121,0.04141393074428239
570,200,100,20,0.1284106679999013,0.04174806164639985
580,200,100,20,0.1304972889999192,0.040486455989289606
590,200,100,20,0.1325101469999197,0.04120935130663397
600,200,100,20,0.13454522699993277,0.037527216290268915
610,200,100,20,0.13663574599993922,0.03766829811351117
620,200,100,20,0.13885045699996112,0.03877574627942744
630,200,100,20,0.14087771099994484,0.0357559290240729
640,200,100,20,0.14285722499994336,0.04166235792860861
650,200,100,20,0.1448990219999473,0.03852529899525261
660,200,100,20,0.14701733499992997,0.04820363059692069
670,200,100,20,0.14901353099995163,0.04227710460690216
680,200,100,20,0.1509698469999421,0.04280696538409898
690,200,100,20,0.15299269899995238,0.043214367776366266
700,200,100,20,0.15521518499994613,0.04108169838487635
710,200,100,20,0.15723710599993979,0.043472413599864125
720,200,100,20,0.15925162699994644,0.039392802541881315
730,200,100,20,0.16134135299995478,0.038054138693291384
740,200,100,20,0.1634887769999409,0.045640924259993464
750,200,100,20,0.16552069199994435,0.037901124437508975
760,200,100,20,0.16752546099996835,0.0391073452421657
770,200,100,20,0.16960708499996713,0.037725716592300326
