iterations,pop,mate,mutate,time,fitness
0,2000,500,100,0.01963369799999981,0.07485054980824189
10,2000,500,100,0.03930811899999753,0.09241939464147579
20,2000,500,100,0.057726500999997654,0.1008367804389739
30,2000,500,100,0.07652493699999496,0.13335180494680904
40,2000,500,100,0.09438428299999657,0.1439971750498625
50,2000,500,100,0.11296133599999791,0.15358372406027368
60,2000,500,100,0.12820622699999973,0.15353253627385877
70,2000,500,100,0.14260629199999642,0.16055481373574806
80,2000,500,100,0.15581627399999576,0.16055481373574806
90,2000,500,100,0.16980324599999363,0.16055481373574812
100,2000,500,100,0.18301738599999595,0.1593770733155934
110,2000,500,100,0.1964683769999951,0.15937707331559345
120,2000,500,100,0.21004658099999318,0.15937707331559342
130,2000,500,100,0.22368754499999,0.15937707331559342
140,2000,500,100,0.23726353799999345,0.15937707331559334
150,2000,500,100,0.25059568599999693,0.15937707331559334
160,2000,500,100,0.26450175899999806,0.15937707331559334
170,2000,500,100,0.2773886959999956,0.15937707331559334
180,2000,500,100,0.2902073489999921,0.15486703726825043
190,2000,500,100,0.30279189399999495,0.15481216702313336
200,2000,500,100,0.31674069299999275,0.15653094808871432
210,2000,500,100,0.3303658209999938,0.15722182922787495
220,2000,500,100,0.34323734099999115,0.157221829227875
230,2000,500,100,0.3556449749999899,0.157283875075518
240,2000,500,100,0.36767965599999286,0.157221829227875
250,2000,500,100,0.379539692999991,0.157221829227875
260,2000,500,100,0.3910679489999893,0.1579421323035624
270,2000,500,100,0.40205121699998614,0.1588307846614114
280,2000,500,100,0.4137768549999876,0.1585957398204433
290,2000,500,100,0.4253359799999856,0.157221829227875
300,2000,500,100,0.4369421069999859,0.15770917927653574
310,2000,500,100,0.4503804419999895,0.157221829227875
320,2000,500,100,0.4635797799999892,0.157221829227875
330,2000,500,100,0.47572646299998667,0.15841892423971304
340,2000,500,100,0.4881035119999879,0.16018015157777016
350,2000,500,100,0.5006056699999846,0.16018015157777019
360,2000,500,100,0.513316938999985,0.1622453703536494
370,2000,500,100,0.5265495839999872,0.1622453703536494
380,2000,500,100,0.5397864849999863,0.16018015157777024
390,2000,500,100,0.5540255779999868,0.1620596832376813
400,2000,500,100,0.567201104999981,0.16205968323768136
410,2000,500,100,0.5805021409999824,0.16205968323768133
420,2000,500,100,0.5936932439999865,0.16135938301778374
430,2000,500,100,0.606838066999984,0.16018015157777016
440,2000,500,100,0.6198807239999837,0.15841892423971304
450,2000,500,100,0.6324997449999827,0.15722182922787495
460,2000,500,100,0.6460688249999862,0.15810620327214148
470,2000,500,100,0.6583292299999854,0.15841892423971304
480,2000,500,100,0.6702139639999842,0.15841892423971304
490,2000,500,100,0.6831500909999875,0.15841892423971304
500,2000,500,100,0.6956198879999889,0.15841892423971304
510,2000,500,100,0.7069634199999868,0.15810620327214148
520,2000,500,100,0.7185011929999874,0.15841892423971304
530,2000,500,100,0.7318834989999843,0.15841892423971304
540,2000,500,100,0.7434413889999831,0.1574292846436645
550,2000,500,100,0.7554697459999815,0.15841892423971304
560,2000,500,100,0.7671828439999828,0.15841892423971304
570,2000,500,100,0.778857271999982,0.15841892423971304
580,2000,500,100,0.7903426119999821,0.15841892423971304
590,2000,500,100,0.8021154239999788,0.15841892423971304
600,2000,500,100,0.8134260379999816,0.15841892423971304
610,2000,500,100,0.8260600639999822,0.158418924239713
620,2000,500,100,0.8378991159999885,0.15810620327214145
630,2000,500,100,0.8496676279999846,0.158418924239713
640,2000,500,100,0.8625621479999879,0.15841892423971304
650,2000,500,100,0.8748169309999909,0.15841892423971304
660,2000,500,100,0.8871540279999905,0.15722182922787495
670,2000,500,100,0.8995683919999848,0.15742928464366446
680,2000,500,100,0.9128661739999799,0.1560156348101713
690,2000,500,100,0.9254000799999815,0.15462129580219824
700,2000,500,100,0.9377201089999829,0.15698752623441886
710,2000,500,100,0.9498739999999799,0.15462129580219824
720,2000,500,100,0.9629984039999826,0.1560156348101713
730,2000,500,100,0.9756236279999797,0.1547961372204404
740,2000,500,100,0.9886727069999779,0.15601563481017128
750,2000,500,100,1.0009782179999789,0.15479613722044033
760,2000,500,100,1.0143914949999768,0.15698752623441886
770,2000,500,100,1.02692211399998,0.15698752623441892
780,2000,500,100,1.0397568719999768,0.15698752623441892
790,2000,500,100,1.052843980999981,0.15698752623441886
800,2000,500,100,1.0651761099999817,0.1560156348101713
810,2000,500,100,1.077669620999984,0.15698752623441892
820,2000,500,100,1.0906032189999806,0.15698752623441892
830,2000,500,100,1.1037796479999784,0.1569875262344189
840,2000,500,100,1.1162928119999762,0.15601563481017133
850,2000,500,100,1.1288549559999765,0.15479613722044033
860,2000,500,100,1.141885063999979,0.1547961372204404
870,2000,500,100,1.1547683849999828,0.1560156348101713
880,2000,500,100,1.1671684139999812,0.15698752623441892
890,2000,500,100,1.179666666999978,0.15613285890049974
900,2000,500,100,1.1929468969999775,0.15581188598325366
910,2000,500,100,1.2065830349999729,0.1547961372204404
920,2000,500,100,1.2190304109999701,0.15581188598325366
930,2000,500,100,1.2315197069999684,0.15581188598325366
940,2000,500,100,1.2443239539999738,0.15601563481017133
950,2000,500,100,1.256864290999978,0.15698752623441892
960,2000,500,100,1.2695236589999794,0.15581188598325368
970,2000,500,100,1.2830342459999784,0.1560156348101713
980,2000,500,100,1.2970128559999807,0.1547961372204404
990,2000,500,100,1.3116992189999834,0.15698752623441886
1000,2000,500,100,1.3263850819999874,0.1558118859832537
1010,2000,500,100,1.3402296019999866,0.15601563481017128
1020,2000,500,100,1.353867749999985,0.15698752623441886
1030,2000,500,100,1.3666684939999811,0.1560156348101713
1040,2000,500,100,1.3797114789999796,0.15698752623441892
1050,2000,500,100,1.3925588279999843,0.15601563481017128
1060,2000,500,100,1.4059773989999869,0.15651929876964793
1070,2000,500,100,1.4201708549999879,0.1560156348101713
1080,2000,500,100,1.43396272399999,0.15698752623441892
1090,2000,500,100,1.4473329609999865,0.1572218292278749
1100,2000,500,100,1.461053244999988,0.15698752623441892
1110,2000,500,100,1.4740914789999877,0.15698752623441886
1120,2000,500,100,1.488206054999985,0.15698752623441892
1130,2000,500,100,1.5054241929999819,0.15698752623441886
1140,2000,500,100,1.5195657229999782,0.15698752623441892
1150,2000,500,100,1.5333902749999737,0.15698752623441892
1160,2000,500,100,1.5462758809999713,0.15581188598325368
1170,2000,500,100,1.5596792829999728,0.15581188598325368
1180,2000,500,100,1.5722682149999727,0.15469983995832523
1190,2000,500,100,1.5851403359999736,0.15541863748275858
1200,2000,500,100,1.5981096529999732,0.15581188598325368
1210,2000,500,100,1.6118508259999729,0.1558118859832537
1220,2000,500,100,1.6242557789999736,0.15698752623441886
1230,2000,500,100,1.6371422569999723,0.15698752623441892
1240,2000,500,100,1.6504088839999724,0.15581188598325368
1250,2000,500,100,1.6631050579999709,0.15698752623441886
1260,2000,500,100,1.676119808999971,0.15698752623441892
1270,2000,500,100,1.6888017139999718,0.15581188598325368
1280,2000,500,100,1.7032288199999712,0.15469983995832523
1290,2000,500,100,1.716078820999968,0.15601563481017128
1300,2000,500,100,1.7291132479999618,0.15512779736361917
1310,2000,500,100,1.7424039199999584,0.15517857699330484
1320,2000,500,100,1.7550568589999571,0.15517857699330484
1330,2000,500,100,1.7678373539999583,0.15601563481017128
1340,2000,500,100,1.7809063719999543,0.15581188598325366
1350,2000,500,100,1.7942021019999572,0.1547961372204404
1360,2000,500,100,1.8073140209999607,0.15698752623441883
1370,2000,500,100,1.8202334159999651,0.15512779736361923
1380,2000,500,100,1.8331581059999635,0.1547961372204404
1390,2000,500,100,1.8462363599999634,0.15601563481017128
1400,2000,500,100,1.8588965829999609,0.1560156348101713
1410,2000,500,100,1.871487303999963,0.15469983995832523
1420,2000,500,100,1.883955063999963,0.15698752623441892
1430,2000,500,100,1.8972682509999643,0.15698752623441892
1440,2000,500,100,1.9098800079999663,0.15698752623441892
1450,2000,500,100,1.9224950479999663,0.15698752623441892
1460,2000,500,100,1.9348779629999697,0.15698752623441886
1470,2000,500,100,1.9475088989999705,0.15698752623441892
1480,2000,500,100,1.9599077629999684,0.1569875262344189
1490,2000,500,100,1.9723554759999686,0.15698752623441892
1500,2000,500,100,1.984974913999963,0.15698752623441892
