iterations,time,fitness
0,3.5135000000019456e-05,3194.569062557939
10,0.00019306000000002266,3194.569062557939
20,0.0003430910000000176,3194.569062557939
30,0.0003712820000000283,3194.569062557939
40,0.0004024350000000343,3194.569062557939
50,0.00042722600000000277,3194.569062557939
60,0.0004562670000000102,3194.569062557939
70,0.0004783420000000205,3194.569062557939
80,0.000531598000000022,3194.569062557939
90,0.0005517569999999861,3194.569062557939
100,0.012552582000000034,3194.569062557939
110,0.01258192800000002,3194.569062557939
120,0.012617914000000008,3194.569062557939
130,0.012642897000000042,3194.569062557939
140,0.012669420000000042,3194.569062557939
150,0.012694752000000087,3194.569062557939
160,0.012717197000000124,3194.569062557939
170,0.012833432000000145,3194.569062557939
180,0.012884391000000106,3194.569062557939
190,0.012960062000000105,3194.569062557939
200,0.012984908000000128,3194.569062557939
210,0.013025244000000158,3194.569062557939
220,0.013049033000000154,3194.569062557939
230,0.013093443000000149,3194.569062557939
240,0.013110296000000188,3194.569062557939
250,0.013137658000000219,3194.569062557939
260,0.013161737000000229,3194.569062557939
270,0.013216833000000205,3194.569062557939
280,0.013239030000000207,3194.569062557939
290,0.013262355000000225,3194.569062557939
300,0.01329502600000021,3194.569062557939
310,0.013320590000000188,3194.569062557939
320,0.013344187000000174,3194.569062557939
330,0.01336688700000016,3194.569062557939
340,0.013390179000000169,3194.569062557939
350,0.013411998000000203,3194.569062557939
360,0.013429294000000203,3194.569062557939
370,0.013449228000000202,3194.569062557939
380,0.013468748000000197,3194.569062557939
390,0.01349406700000022,3194.569062557939
400,0.013517100000000226,3194.569062557939
410,0.013552889000000234,3194.569062557939
420,0.013608659000000245,3194.569062557939
430,0.013662666000000212,3194.569062557939
440,0.013686368000000226,3194.569062557939
450,0.013710112000000274,3194.569062557939
460,0.013759659000000313,3194.569062557939
470,0.013783072000000285,3194.569062557939
480,0.0138061930000003,3194.569062557939
490,0.013824765000000294,3194.569062557939
500,0.0138482730000003,3194.569062557939
510,0.013867458000000332,3194.569062557939
520,0.013888293000000329,3194.569062557939
530,0.013908197000000344,3194.569062557939
540,0.01392267100000033,3194.569062557939
550,0.013939608000000325,3194.569062557939
560,0.013954200000000305,3194.569062557939
570,0.013973488000000311,3194.569062557939
580,0.013995191000000295,3194.569062557939
590,0.014015308000000282,3194.569062557939
600,0.014033914000000258,3194.569062557939
610,0.014046912000000245,3194.569062557939
620,0.01406089500000024,3194.569062557939
630,0.014090553000000228,3194.569062557939
640,0.014174263000000242,3194.569062557939
650,0.01420112300000026,3194.569062557939
660,0.014227723000000247,3194.569062557939
670,0.01425296300000023,3194.569062557939
680,0.014271792000000227,3194.569062557939
690,0.01429138100000027,3194.569062557939
700,0.014310341000000226,3194.569062557939
710,0.01433513700000022,3194.569062557939
720,0.014350419000000225,3194.569062557939
730,0.014362738000000208,3194.569062557939
740,0.014375624000000198,3194.569062557939
750,0.014387860000000197,3194.569062557939
760,0.014400288000000205,3194.569062557939
770,0.014420817000000197,3194.569062557939
780,0.014433630000000197,3194.569062557939
790,0.014446513000000216,3194.569062557939
800,0.014459155000000223,3194.569062557939
810,0.014471598000000252,3194.569062557939
820,0.01448434900000023,3194.569062557939
830,0.014517530000000223,3194.569062557939
840,0.01455634100000025,3194.569062557939
850,0.014579173000000278,3194.569062557939
860,0.014600289000000266,3194.569062557939
870,0.014621904000000241,3194.569062557939
880,0.014645869000000256,3194.569062557939
890,0.014664119000000253,3194.569062557939
900,0.014685363000000229,3194.569062557939
910,0.014707086000000258,3194.569062557939
920,0.014728055000000295,3194.569062557939
930,0.014748984000000298,3194.569062557939
