iterations,x,time,fitness
0,0.25,2.3051999999523787e-05,497.0
10,0.25,3.6749999999585725e-05,497.0
20,0.25,5.717800000049067e-05,501.0
30,0.25,7.02029999999354e-05,505.0
40,0.25,8.273300000105621e-05,505.0
50,0.25,9.481200000038825e-05,509.0
60,0.25,0.00010658000000063339,511.0
70,0.25,0.00012037700000000484,515.0
80,0.25,0.00013218399999992414,519.0
90,0.25,0.00014538799999996854,521.0
100,0.25,0.00015778600000082577,523.0
110,0.25,0.00016998799999967673,529.0
120,0.25,0.00018215599999926724,535.0
130,0.25,0.00019495399999946983,537.0
140,0.25,0.0002073859999995875,537.0
150,0.25,0.0002222039999999481,539.0
160,0.25,0.00023430100000076948,539.0
170,0.25,0.0002463490000010893,539.0
180,0.25,0.00025848100000125385,543.0
190,0.25,0.0002709260000006708,545.0
200,0.25,0.00028348700000080385,547.0
210,0.25,0.00029619000000025153,547.0
220,0.25,0.00030852900000155614,551.0
230,0.25,0.00032056200000063484,555.0
240,0.25,0.00033250900000147965,559.0
250,0.25,0.00034473200000206816,563.0
260,0.25,0.00035685000000107436,567.0
270,0.25,0.00037131300000048384,569.0
280,0.25,0.0003838500000004075,571.0
290,0.25,0.0003960369999997937,571.0
300,0.25,0.0004088659999990085,571.0
310,0.25,0.0004211449999989014,577.0
320,0.25,0.00043417199999851164,577.0
330,0.25,0.00044729799999743136,581.0
340,0.25,0.0004617939999977949,581.0
350,0.25,0.000475016999997635,585.0
360,0.25,0.00048795399999690403,585.0
370,0.25,0.000501220999996832,585.0
380,0.25,0.0005138979999959048,585.0
390,0.25,0.0005270679999949124,585.0
400,0.25,0.0005418189999950584,587.0
410,0.25,0.0005545889999947207,587.0
420,0.25,0.0005669669999939231,587.0
430,0.25,0.0005795739999925331,589.0
440,0.25,0.0005922219999909828,589.0
450,0.25,0.0006050359999907329,589.0
460,0.25,0.0006184169999912115,591.0
470,0.25,0.0006316609999910128,591.0
480,0.25,0.0006440149999900058,591.0
490,0.25,0.0006571119999900787,591.0
500,0.25,0.0006698049999904754,593.0
510,0.25,0.0006835889999905476,595.0
520,0.25,0.0006981279999909162,595.0
530,0.25,0.0007126209999910316,595.0
540,0.25,0.0007260289999901914,597.0
550,0.25,0.0007393659999905822,597.0
560,0.25,0.000751836999990374,597.0
570,0.25,0.0007655119999903093,601.0
580,0.25,0.0007788599999898338,603.0
590,0.25,0.000792166999991295,603.0
600,0.25,0.0008054039999922935,603.0
610,0.25,0.0008182099999913817,607.0
620,0.25,0.0008314559999913484,613.0
630,0.25,0.0008455819999912961,615.0
640,0.25,0.0008612989999914333,619.0
650,0.25,0.0008744499999906452,621.0
660,0.25,0.0008871469999913728,621.0
670,0.25,0.0009003589999903028,623.0
680,0.25,0.0009131079999900038,623.0
690,0.25,0.0009261009999903536,625.0
700,0.25,0.0009393069999905634,625.0
710,0.25,0.0009552229999911788,627.0
720,0.25,0.0009684109999898993,629.0
730,0.25,0.0009815449999912573,629.0
740,0.25,0.0009959349999917322,629.0
750,0.25,0.0010092669999917092,629.0
760,0.25,0.0010223079999907014,629.0
770,0.25,0.0010372079999907413,631.0
780,0.25,0.0010509329999894845,633.0
790,0.25,0.0010645989999886751,639.0
800,0.25,0.0010780019999874213,643.0
810,0.25,0.0010920459999876897,643.0
820,0.25,0.0011055009999871857,647.0
830,0.25,0.0011199449999867994,647.0
840,0.25,0.0011336789999862873,653.0
850,0.25,0.0011472699999863778,653.0
860,0.25,0.0011608129999878258,653.0
870,0.25,0.0011739239999890572,653.0
880,0.25,0.0011876269999895328,653.0
890,0.25,0.0012030919999883594,655.0
900,0.25,0.001216706999986883,657.0
910,0.25,0.0012300949999879407,661.0
920,0.25,0.0012437169999888198,661.0
930,0.25,0.0012567669999885567,661.0
940,0.25,0.0012700449999876184,661.0
