iterations,x,time,fitness
0,0.35,2.458199999999522e-05,485.0
10,0.35,3.863599999931466e-05,487.0
20,0.35,5.1297999998922705e-05,489.0
30,0.35,7.137499999920749e-05,491.0
40,0.35,8.422099999805255e-05,491.0
50,0.35,9.589499999762552e-05,495.0
60,0.35,0.00010806299999899238,495.0
70,0.35,0.0001206069999994952,497.0
80,0.35,0.00013264700000092944,497.0
90,0.35,0.0001455440000022179,499.0
100,0.35,0.00015817100000248274,503.0
110,0.35,0.00016976300000237643,505.0
120,0.35,0.00018175300000322636,507.0
130,0.35,0.00019349400000301387,507.0
140,0.35,0.00020611000000236857,507.0
150,0.35,0.00022033800000365034,509.0
160,0.35,0.00023332300000333817,509.0
170,0.35,0.0002455560000029777,513.0
180,0.35,0.0002581370000029892,515.0
190,0.35,0.00027013100000239376,515.0
200,0.35,0.00028267700000306206,517.0
210,0.35,0.00029502200000308676,521.0
220,0.35,0.000308527000003167,523.0
230,0.35,0.00032130000000307746,527.0
240,0.35,0.0003334260000027456,531.0
250,0.35,0.00034590900000175395,531.0
260,0.35,0.00035835800000150186,531.0
270,0.35,0.0003708910000028709,533.0
280,0.35,0.00038555900000325494,533.0
290,0.35,0.00039843500000280585,539.0
300,0.35,0.0004105170000023861,539.0
310,0.35,0.0004228620000024108,543.0
320,0.35,0.0004353010000031077,543.0
330,0.35,0.0004479370000023408,545.0
340,0.35,0.00046131800000104306,547.0
350,0.35,0.00047412100000165935,549.0
360,0.35,0.00048678000000279553,549.0
370,0.35,0.0005002250000032404,549.0
380,0.35,0.0005128700000032183,549.0
390,0.35,0.0005252120000029947,549.0
400,0.35,0.0005394420000026656,549.0
410,0.35,0.0005521790000031501,549.0
420,0.35,0.0005647550000045243,549.0
430,0.35,0.0005776430000050681,551.0
440,0.35,0.0005900350000054289,551.0
450,0.35,0.0006032190000055948,553.0
460,0.35,0.0006165140000060632,553.0
470,0.35,0.0006301180000072293,553.0
480,0.35,0.0006439300000078418,555.0
490,0.35,0.0006571550000078474,557.0
500,0.35,0.0006699600000068529,557.0
510,0.35,0.0006837380000064286,561.0
520,0.35,0.0007001620000064435,563.0
530,0.35,0.0007241410000062842,565.0
540,0.35,0.0007384720000072065,565.0
550,0.35,0.0007508230000077276,569.0
560,0.35,0.0007636100000070201,571.0
570,0.35,0.0007771820000073149,571.0
