iterations,x,time,fitness
0,0.65,2.4068000000099232e-05,502.0
10,0.65,6.544899999916254e-05,506.0
20,0.65,0.00010292499999842164,498.0
30,0.65,0.00012648999999775867,498.0
40,0.65,0.00015193999999851826,498.0
50,0.65,0.0001995259999993948,504.0
60,0.65,0.00022609799999884217,512.0
70,0.65,0.00025236099999759176,512.0
80,0.65,0.00027851899999831176,514.0
90,0.65,0.0003037759999973133,514.0
100,0.65,0.0003243949999962581,516.0
110,0.65,0.000354444999997483,518.0
120,0.65,0.0003808449999969099,522.0
130,0.65,0.00040700799999626724,526.0
140,0.65,0.00043157999999543506,530.0
150,0.65,0.0004544949999960579,532.0
160,0.65,0.00047991799999635987,532.0
170,0.65,0.0005099979999965143,534.0
180,0.65,0.0005325269999971738,538.0
190,0.65,0.0005564619999969267,540.0
200,0.65,0.0005785319999969118,544.0
210,0.65,0.0005983049999969126,548.0
220,0.65,0.0006194269999966195,550.0
230,0.65,0.0006431709999965562,550.0
240,0.65,0.0006696089999955745,552.0
250,0.65,0.0006942829999960765,552.0
260,0.65,0.0007172229999969915,554.0
270,0.65,0.0007407789999973602,556.0
280,0.65,0.0007647979999969579,562.0
290,0.65,0.0007870759999981658,564.0
300,0.65,0.0008125369999980592,568.0
310,0.65,0.0008332699999993309,572.0
320,0.65,0.0008529969999990783,574.0
330,0.65,0.0008662809999986365,576.0
340,0.65,0.0008781709999983178,578.0
350,0.65,0.0008912959999989312,580.0
360,0.65,0.0009045800000002657,582.0
370,0.65,0.0009175930000004939,584.0
380,0.65,0.0009561590000011222,584.0
390,0.65,0.0009704980000027064,586.0
400,0.65,0.0009825730000017074,586.0
410,0.65,0.000995682000000997,588.0
420,0.65,0.00101298500000091,590.0
430,0.65,0.001025629000000805,592.0
440,0.65,0.0010378719999994956,592.0
450,0.65,0.0010501630000003814,592.0
460,0.65,0.0010626209999990976,594.0
470,0.65,0.0010755179999986098,594.0
480,0.65,0.0010887269999990679,598.0
490,0.65,0.0011013869999985104,599.0
500,0.65,0.0011144229999988653,599.0
510,0.65,0.0011275039999993908,601.0
520,0.65,0.0011398810000002868,603.0
530,0.65,0.0011531650000016214,603.0
540,0.65,0.001167538000002466,603.0
550,0.65,0.001181149000002435,603.0
560,0.65,0.0011935370000024648,605.0
570,0.65,0.0012065890000041435,605.0
580,0.65,0.0012192970000040049,605.0
590,0.65,0.0012321490000033464,609.0
600,0.65,0.0012446750000041362,609.0
610,0.65,0.0012579230000042685,609.0
620,0.65,0.0012709480000037132,609.0
630,0.65,0.0012842010000042592,609.0
640,0.65,0.0012980240000040055,611.0
650,0.65,0.0013112740000043033,611.0
660,0.65,0.0013244090000039677,613.0
670,0.65,0.001339035000002653,613.0
680,0.65,0.0013523080000030774,613.0
690,0.65,0.0013649920000045057,615.0
700,0.65,0.0013785180000045472,617.0
710,0.65,0.0013911980000038682,617.0
720,0.65,0.0014045400000028962,619.0
730,0.65,0.0014186900000030533,619.0
740,0.65,0.0014317590000043623,619.0
750,0.65,0.001444636000003996,619.0
760,0.65,0.0014580740000038617,623.0
770,0.65,0.0014713330000031277,627.0
780,0.65,0.0014846890000033142,631.0
790,0.65,0.0014996180000022008,631.0
800,0.65,0.0015126810000030133,631.0
810,0.65,0.0015254080000026704,631.0
820,0.65,0.0015382010000024593,631.0
830,0.65,0.0015509750000024525,631.0
840,0.65,0.0015647290000018188,633.0
850,0.65,0.001577853000000573,633.0
860,0.65,0.0015915930000005574,633.0
870,0.65,0.001604608000000951,633.0
880,0.65,0.001617814000001161,633.0
890,0.65,0.0016312570000014404,633.0
900,0.65,0.0016446060000010476,633.0
910,0.65,0.001658122000002038,633.0
920,0.65,0.0016738300000014306,633.0
930,0.65,0.0016870820000018938,635.0
940,0.65,0.0017001720000013876,635.0
950,0.65,0.0017134580000028876,637.0
960,0.65,0.0017264490000030719,639.0
970,0.65,0.0017395800000024053,639.0
980,0.65,0.0017530910000012057,639.0
990,0.65,0.0017671730000010655,639.0
1000,0.65,0.0017803490000023459,645.0
1010,0.65,0.0017942110000017664,647.0
1020,0.65,0.001807523000001865,649.0
1030,0.65,0.0018217010000025624,653.0
1040,0.65,0.001837355000002816,653.0
1050,0.65,0.0018514840000012356,653.0
1060,0.65,0.00186584600000117,655.0
1070,0.65,0.001879925000002558,655.0
1080,0.65,0.0018928230000021529,659.0
1090,0.65,0.0019068910000008543,659.0
1100,0.65,0.0019214739999995345,659.0
1110,0.65,0.001934890999999439,660.0
1120,0.65,0.0019487529999988595,660.0
1130,0.65,0.001962657999998285,660.0
1140,0.65,0.0019759929999985104,662.0
1150,0.65,0.0019892959999978643,662.0
1160,0.65,0.0020045569999975754,662.0
1170,0.65,0.002018421999997244,662.0
1180,0.65,0.0020321549999984256,662.0
1190,0.65,0.002045754999999261,662.0
1200,0.65,0.0020594649999985393,664.0
1210,0.65,0.0020727299999983018,668.0
1220,0.65,0.002086015999999802,668.0
1230,0.65,0.0021004239999999896,670.0
1240,0.65,0.002113836999999563,672.0
1250,0.65,0.0021278049999988724,672.0
1260,0.65,0.002141416999998924,672.0
1270,0.65,0.00215460099999909,672.0
1280,0.65,0.0021680789999987127,672.0
1290,0.65,0.002183483999997904,674.0
1300,0.65,0.0021968059999970535,674.0
1310,0.65,0.0022103659999963554,674.0
1320,0.65,0.0022240779999975757,676.0
1330,0.65,0.0022375519999986437,676.0
1340,0.65,0.002250904999998582,678.0
1350,0.65,0.002265069999998204,680.0
1360,0.65,0.0022791159999968613,680.0
1370,0.65,0.0022927179999960856,682.0
