iteration,MSE_trg,MSE_val,MSE_tst,acc_trg,acc_val,acc_tst,elapsed
0,0.114662576491,0.115558544765,0.110440196537,0.592391304348,0.592391304348,0.649350649351,0.006235411
10,0.115283766151,0.115835491015,0.111283905249,0.599184782609,0.608695652174,0.658008658009,0.017042096
20,0.114989010761,0.115792678681,0.111160144738,0.619565217391,0.586956521739,0.65367965368,0.028348928
30,0.114134219258,0.11543377054,0.110978453888,0.623641304348,0.58152173913,0.658008658009,0.03988164
40,0.114134219258,0.11543377054,0.110978453888,0.623641304348,0.58152173913,0.658008658009,0.051541823
50,0.114134219258,0.11543377054,0.110978453888,0.623641304348,0.58152173913,0.658008658009,0.06202277
60,0.112293051098,0.114349411689,0.110166548013,0.642663043478,0.58152173913,0.666666666667,0.070753302
70,0.112281962687,0.114342272668,0.110113701985,0.641304347826,0.58152173913,0.662337662338,0.0781643
80,0.11198739419,0.114052283055,0.109871733152,0.64402173913,0.597826086957,0.662337662338,0.087793613
90,0.11198739419,0.114052283055,0.109871733152,0.64402173913,0.597826086957,0.662337662338,0.094297677
100,0.110642986114,0.113124090676,0.108226558904,0.641304347826,0.592391304348,0.645021645022,0.100190836
110,0.110642986114,0.113124090676,0.108226558904,0.641304347826,0.592391304348,0.645021645022,0.105823202
120,0.11055729532,0.113445852056,0.108691096131,0.634510869565,0.586956521739,0.640692640693,0.11143858
130,0.11055729532,0.113445852056,0.108691096131,0.634510869565,0.586956521739,0.640692640693,0.117336308
140,0.103027627183,0.105688300386,0.101248006401,0.686141304348,0.635869565217,0.69696969697,0.122806223
150,0.103027627183,0.105688300386,0.101248006401,0.686141304348,0.635869565217,0.69696969697,0.128134353
160,0.10290432031,0.105661362953,0.101200774275,0.67527173913,0.635869565217,0.701298701299,0.133965545
170,0.0787895175974,0.0811449251776,0.0777924855078,0.915760869565,0.907608695652,0.922077922078,0.139412638
180,0.078440218574,0.0806437102052,0.0773873936822,0.889945652174,0.875,0.900432900433,0.144753232
190,0.0782615855236,0.0805171779738,0.0773148165202,0.89402173913,0.875,0.900432900433,0.150122492
200,0.07813430991,0.0804825842188,0.0771962711855,0.885869565217,0.875,0.904761904762,0.155600605
210,0.07813430991,0.0804825842188,0.0771962711855,0.885869565217,0.875,0.904761904762,0.160634868
220,0.07813430991,0.0804825842188,0.0771962711855,0.885869565217,0.875,0.904761904762,0.16560097
230,0.0785394664425,0.0809625397182,0.077304395633,0.891304347826,0.864130434783,0.91341991342,0.170773577
240,0.0785905083891,0.0809699915049,0.0775228709847,0.872282608696,0.864130434783,0.896103896104,0.175773752
250,0.07813430991,0.0804825842188,0.0771962711855,0.885869565217,0.875,0.904761904762,0.180720545
260,0.0780026530981,0.0803511599212,0.077067968992,0.88722826087,0.875,0.909090909091,0.185748187
270,0.0779619345683,0.080344114273,0.0778409242593,0.910326086957,0.913043478261,0.904761904762,0.190729795
280,0.0780362968948,0.080139322556,0.0774421909068,0.870923913043,0.869565217391,0.887445887446,0.195743455
290,0.0761566460891,0.0777021913979,0.0761024195867,0.944293478261,0.95652173913,0.935064935065,0.200847876
300,0.0759901191253,0.0771423670049,0.0768776494681,0.957880434783,0.978260869565,0.935064935065,0.2058289
310,0.073612554721,0.0728685607503,0.0746584357474,0.932065217391,0.945652173913,0.917748917749,0.211399924
320,0.0735524871097,0.0727871139356,0.074781014908,0.932065217391,0.945652173913,0.917748917749,0.216309233
330,0.0734820065525,0.0727062876012,0.0746496267801,0.930706521739,0.940217391304,0.917748917749,0.221279424
340,0.0728753311745,0.071779084604,0.0736838818537,0.933423913043,0.940217391304,0.926406926407,0.22614832
350,0.0728753311745,0.071779084604,0.0736838818537,0.933423913043,0.940217391304,0.926406926407,0.230961519
360,0.0728753311745,0.071779084604,0.0736838818537,0.933423913043,0.940217391304,0.926406926407,0.236108204
370,0.0728753311745,0.071779084604,0.0736838818537,0.933423913043,0.940217391304,0.926406926407,0.241390613
380,0.0728753311745,0.071779084604,0.0736838818537,0.933423913043,0.940217391304,0.926406926407,0.246294568
390,0.0728753311745,0.071779084604,0.0736838818537,0.933423913043,0.940217391304,0.926406926407,0.251303528
400,0.0726483240238,0.0715609471432,0.073509134666,0.9375,0.945652173913,0.926406926407,0.256398108
410,0.0719389599219,0.0707848882053,0.0729408009449,0.927989130435,0.945652173913,0.930735930736,0.261317519
420,0.0719389599219,0.0707848882053,0.0729408009449,0.927989130435,0.945652173913,0.930735930736,0.266131232
430,0.0718002722732,0.070616318481,0.0728253922991,0.930706521739,0.945652173913,0.926406926407,0.270942701
440,0.0716121761,0.0704219395478,0.0726461818449,0.930706521739,0.945652173913,0.926406926407,0.275726143
450,0.0716121761,0.0704219395478,0.0726461818449,0.930706521739,0.945652173913,0.926406926407,0.280569093
460,0.0716087868638,0.0704132832409,0.0726469698155,0.930706521739,0.945652173913,0.926406926407,0.285338421
470,0.0718752304642,0.0706701297436,0.0729125048595,0.930706521739,0.95652173913,0.926406926407,0.290199535
480,0.0715285186378,0.0703942885727,0.0726130769469,0.930706521739,0.951086956522,0.926406926407,0.294960818
490,0.0715285186378,0.0703942885727,0.0726130769469,0.930706521739,0.951086956522,0.926406926407,0.299761527
500,0.0715285186378,0.0703942885727,0.0726130769469,0.930706521739,0.951086956522,0.926406926407,0.304487049
510,0.0693994223433,0.068322809359,0.0705779035483,0.936141304348,0.961956521739,0.926406926407,0.30939926
520,0.0693994223433,0.068322809359,0.0705779035483,0.936141304348,0.961956521739,0.926406926407,0.314608042
530,0.0693994223433,0.068322809359,0.0705779035483,0.936141304348,0.961956521739,0.926406926407,0.319435926
540,0.0732345585631,0.0722671372371,0.0744826895322,0.92527173913,0.923913043478,0.922077922078,0.324213192
550,0.0695436355097,0.0682440500888,0.0705357265762,0.934782608696,0.961956521739,0.939393939394,0.329263163
560,0.0692084018383,0.0681236209172,0.0704469588054,0.9375,0.961956521739,0.930735930736,0.334243244
570,0.0692084018383,0.0681236209172,0.0704469588054,0.9375,0.961956521739,0.930735930736,0.339081968
580,0.0692084018383,0.0681236209172,0.0704469588054,0.9375,0.961956521739,0.930735930736,0.344192901
590,0.0401666762431,0.0392393094569,0.0412763204939,0.995923913043,1.0,0.982683982684,0.348970292
600,0.0401478489536,0.0392252894334,0.0412575361949,0.995923913043,1.0,0.982683982684,0.353805211
610,0.0401478489536,0.0392252894334,0.0412575361949,0.995923913043,1.0,0.982683982684,0.35873008
620,0.0401478489536,0.0392252894334,0.0412575361949,0.995923913043,1.0,0.982683982684,0.363751345
630,0.0401478489536,0.0392252894334,0.0412575361949,0.995923913043,1.0,0.982683982684,0.368590219
640,0.0399831787699,0.0390768413447,0.0410141501211,0.995923913043,1.0,0.982683982684,0.373379152
650,0.0399831787699,0.0390768413447,0.0410141501211,0.995923913043,1.0,0.982683982684,0.37845941
660,0.0399831787699,0.0390768413447,0.0410141501211,0.995923913043,1.0,0.982683982684,0.383273615
670,0.0403988164241,0.0396931668441,0.0413804767404,0.998641304348,1.0,0.982683982684,0.388058857
680,0.0398243678165,0.0389627627063,0.0407019295492,0.995923913043,1.0,0.982683982684,0.392985141
690,0.0398243678165,0.0389627627063,0.0407019295492,0.995923913043,1.0,0.982683982684,0.397831141
700,0.0398243678165,0.0389627627063,0.0407019295492,0.995923913043,1.0,0.982683982684,0.402727703
