iterations,fevals,time,fitness
0,38596,6.407699999999572e-05,891.0
10,38597,0.0001229410000000153,891.0
20,38598,0.00017461400000001737,893.0
30,38599,0.00022388200000000857,893.0
40,38600,0.0002745450000000149,893.0
50,38601,0.0003250200000000092,893.0
60,38602,0.00037735199999999747,893.0
70,38603,0.0004285629999999929,893.0
80,38604,0.000499567999999978,893.0
90,38605,0.0005487129999999785,893.0
100,38606,0.0005993859999999795,893.0
110,38607,0.0006496709999999628,893.0
120,38608,0.0007064279999999812,893.0
130,38609,0.0007620959999999621,893.0
140,38610,0.0008167219999999642,893.0
150,38611,0.0008673759999999753,893.0
160,38612,0.0009200969999999808,893.0
170,38613,0.0010317259999999828,893.0
180,38614,0.0010876350000000035,893.0
190,38615,0.0011541220000000074,893.0
200,38616,0.0012089740000000015,893.0
210,38617,0.001259529999999981,893.0
220,38618,0.001310835999999982,893.0
230,38619,0.001361555999999986,895.0
240,38620,0.0014144479999999848,895.0
250,38621,0.0014731369999999855,895.0
260,38622,0.0015415899999999816,895.0
270,38623,0.0016144429999999932,895.0
280,38624,0.0017037030000000009,895.0
290,38625,0.0017978160000000076,895.0
300,38626,0.0018978159999999966,895.0
310,38627,0.0019972659999999975,895.0
320,38628,0.0021097069999999885,895.0
330,38629,0.0022067060000000027,895.0
340,38630,0.002295091000000027,895.0
350,38631,0.00238213000000001,895.0
360,38632,0.002516752000000011,895.0
370,38633,0.002662952000000024,895.0
380,38634,0.0027680720000000103,895.0
390,38635,0.00283455199999999,895.0
400,38636,0.0028933810000000004,895.0
410,38637,0.002952084999999993,895.0
420,38638,0.0030114849999999804,895.0
430,38639,0.003066945999999987,895.0
440,38640,0.0031241909999999706,895.0
450,38641,0.0031786719999999657,895.0
460,38642,0.003234602999999975,895.0
470,38643,0.0032873309999999767,895.0
480,38644,0.003347767999999973,895.0
490,38645,0.0034026759999999656,895.0
500,38646,0.003485574999999963,895.0
510,38647,0.0035441339999999766,897.0
520,38648,0.0036005339999999886,897.0
530,38649,0.0036556499999999825,897.0
540,38650,0.0037106749999999966,897.0
550,38651,0.0038077539999999965,897.0
560,38652,0.003887873000000014,897.0
570,38653,0.003974291000000019,897.0
580,38654,0.0040643530000000205,897.0
590,38655,0.004152832000000023,897.0
600,38656,0.00422889600000001,897.0
610,38657,0.004320212000000018,897.0
620,38658,0.004445837000000008,897.0
630,38659,0.004526699999999995,897.0
640,38660,0.004602205999999998,897.0
650,38661,0.004662869999999986,897.0
660,38662,0.004829844,897.0
670,38663,0.004980024999999999,897.0
680,38664,0.005107314999999973,897.0
690,38665,0.005204520999999962,897.0
700,38666,0.005297299999999977,897.0
710,38667,0.0053906339999999775,897.0
720,38668,0.005475852999999975,897.0
730,38669,0.005575553999999983,897.0
740,38670,0.00564933099999998,897.0
750,38671,0.005775360999999979,897.0
760,38672,0.0058277959999999684,897.0
770,38673,0.0058812619999999705,897.0
780,38674,0.005933412999999971,897.0
790,38675,0.006009722999999967,897.0
800,38676,0.006063354999999965,897.0
810,38677,0.006116522999999957,897.0
820,38678,0.006166912999999941,897.0
830,38679,0.0062162279999999626,897.0
840,38680,0.00626514899999997,897.0
850,38681,0.006313631999999958,897.0
860,38682,0.00636471099999994,897.0
870,38683,0.00641680899999994,897.0
880,38684,0.006467175999999936,899.0
890,38685,0.0065155139999999445,899.0
900,38686,0.006564459999999939,899.0
910,38687,0.006628264999999939,899.0
920,38688,0.006682773999999947,899.0
930,38689,0.006734817999999948,899.0
940,38690,0.006786600999999948,899.0
950,38691,0.006839441999999946,899.0
960,38692,0.006890078999999938,899.0
970,38693,0.006939299999999926,899.0
980,38694,0.006995110999999915,899.0
990,38695,0.0070459489999999125,899.0
1000,38696,0.0070765109999998965,899.0
1010,38697,0.007093263999999877,899.0
1020,38698,0.007110530999999892,899.0
1030,38699,0.007127546999999901,899.0
1040,38700,0.007168563999999905,899.0
1050,38701,0.007199102999999901,899.0
1060,38702,0.007219260999999894,899.0
1070,38703,0.0072384159999998865,899.0
1080,38704,0.007255356999999879,899.0
1090,38705,0.007271904999999884,899.0
1100,38706,0.0072886749999998834,899.0
1110,38707,0.0073082529999999035,899.0
1120,38708,0.0073315849999998906,899.0
1130,38709,0.00734828799999987,899.0
1140,38710,0.007365053999999871,899.0
1150,38711,0.007382017999999879,899.0
1160,38712,0.0073990419999998835,899.0
1170,38713,0.007415853999999861,899.0
1180,38714,0.007433019999999874,899.0
1190,38715,0.007450727999999851,899.0
1200,38716,0.00746733999999985,899.0
1210,38717,0.007484115999999846,899.0
1220,38718,0.007500779999999846,901.0
1230,38719,0.007517397999999842,901.0
1240,38720,0.007534219999999869,901.0
1250,38721,0.007553505999999877,901.0
1260,38722,0.007570404999999891,901.0
1270,38723,0.007587256999999875,901.0
1280,38724,0.007603940999999892,901.0
1290,38725,0.007620869999999891,903.0
1300,38726,0.007641845999999897,903.0
